Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31,Item_32,Item_33,Item_34,Item_35,Item_36,Item_37,Item_38,Item_39,Item_40,Item_41,Item_42,Item_43,Item_44,Item_45,Item_46,Item_47,Item_48,Item_49,Item_50,Item_51,Item_52,Item_53,Item_54,Item_55,Item_56,Item_57,Item_58,Item_59,Item_60,Item_61,Item_62,Item_63,Item_64,Item_65,Item_66,Item_67,Item_68,Item_69,Item_70,Item_71,Item_72,Item_73,Item_74,Item_75,Item_76,Item_77,Item_78,Item_79,Item_80,Item_81,Item_82,Item_83,Item_84,Item_85,Item_86,Item_87,Item_88,Item_89,Item_90,Item_91,Item_92,Item_93,Item_94,Item_95,Item_96,Item_97,Item_98,Item_99,Item_100,Item_101,Item_102,Item_103,Item_104,Item_105,Item_106,Item_107,Item_108,Item_109,Item_110,Item_111,Item_112,Item_113,Item_114,Item_115,Item_116,Item_117,Item_118,Item_119,Item_120,Item_121,Item_122,Item_123,Item_124,Item_125,Item_126,Item_127,Item_128,Item_129,Item_130,Item_131,Item_132,Item_133,Item_134,Item_135,Item_136,Item_137,Item_138,Item_139,Item_140,Item_141,Item_142,Item_143,Item_144,Item_145,Item_146,Item_147,Item_148,Item_149,Item_150,Item_151,Item_152,Item_153,Item_154,Item_155,Total_Score,Rating,Odometer_Reading,Estimated_Repair_Cost
0.55,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.55,1.0,1.0,1.0,0.0,0.55,1.0,0.55,0.0,0.55,0.55,0.55,0.55,1.0,1.0,1.0,0.55,1.0,1.0,0.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.55,1.0,1.0,0.55,0.0,1.0,0.0,0.55,0.55,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.55,1.0,1.0,0.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,1.0,0.55,1.0,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.55,0.0,0.55,0.55,0.0,0.0,0.55,1.0,0.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.55,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.55,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.55,1.0,1.0,1.0,0.55,1.0,1.0,1.0,0.0,0.0,1.0,885.9000000000001,Excellent,10444,1058
1.0,1.0,1.0,1.0,1.0,1.0,0.59,1.0,1.0,0.0,1.0,1.0,0.59,0.0,0.0,1.0,0.59,0.59,1.0,1.0,1.0,1.0,0.0,0.59,1.0,1.0,1.0,1.0,1.0,1.0,0.59,0.59,0.59,1.0,1.0,0.59,0.59,0.59,0.59,0.0,1.0,1.0,0.0,0.0,1.0,0.59,1.0,1.0,1.0,1.0,0.59,0.0,0.59,0.0,0.59,1.0,1.0,1.0,1.0,0.59,0.0,1.0,0.0,0.59,1.0,1.0,0.59,1.0,0.59,0.59,1.0,1.0,1.0,0.59,1.0,1.0,1.0,1.0,1.0,0.59,1.0,0.0,0.59,1.0,0.0,0.59,0.59,0.59,1.0,1.0,0.59,1.0,0.59,1.0,1.0,0.59,0.0,0.59,1.0,0.59,1.0,0.0,0.59,0.59,1.0,0.59,0.59,0.59,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.59,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.59,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.59,0.59,1.0,1.0,1.0,1.0,1.0,0.59,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.59,1.0,1.0,1.0,866.7499999999999,Excellent,17606,4719
1.0,0.62,0.62,1.0,0.62,0.0,1.0,0.0,1.0,0.62,0.62,1.0,0.0,1.0,0.0,1.0,0.62,1.0,0.62,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.62,1.0,0.62,0.62,0.62,1.0,1.0,0.62,0.0,1.0,0.62,0.0,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.62,1.0,1.0,1.0,1.0,1.0,1.0,0.62,0.62,1.0,1.0,0.62,1.0,1.0,0.62,1.0,0.62,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.62,1.0,0.62,0.62,1.0,1.0,0.0,0.62,1.0,0.62,0.62,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.62,1.0,0.62,0.0,0.62,1.0,0.0,0.62,0.62,1.0,1.0,0.62,0.0,1.0,0.0,0.62,1.0,0.62,0.62,1.0,1.0,1.0,0.0,1.0,0.62,1.0,1.0,0.62,1.0,1.0,1.0,0.62,1.0,0.0,1.0,1.0,1.0,0.0,0.62,1.0,0.0,0.62,0.62,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.62,0.0,1.0,0.62,1.0,836.4000000000003,Excellent,11505,2153
1.0,1.0,0.0,0.62,0.62,1.0,0.62,1.0,1.0,1.0,0.62,0.0,1.0,1.0,1.0,0.62,1.0,0.62,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.62,1.0,0.0,1.0,1.0,0.62,1.0,0.62,1.0,1.0,1.0,0.62,1.0,0.62,1.0,0.62,0.62,0.0,1.0,1.0,0.62,1.0,0.0,0.62,0.62,0.0,1.0,0.0,1.0,1.0,0.62,0.62,1.0,1.0,0.62,1.0,0.62,1.0,1.0,1.0,0.0,0.62,1.0,1.0,0.62,1.0,0.0,1.0,0.0,0.62,1.0,1.0,0.0,1.0,0.62,0.62,1.0,0.0,1.0,1.0,0.62,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.62,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.62,0.0,0.62,1.0,0.62,1.0,0.0,0.62,1.0,1.0,1.0,1.0,0.62,0.62,1.0,0.62,0.62,1.0,0.62,0.62,0.0,0.0,0.0,0.62,1.0,0.62,1.0,1.0,1.0,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,845.7000000000002,Excellent,15238,3418
1.0,1.0,0.6,1.0,0.0,1.0,1.0,0.6,0.0,1.0,0.0,0.6,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.0,0.6,1.0,1.0,0.6,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,0.6,1.0,1.0,0.6,1.0,0.0,0.6,0.6,0.0,0.6,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.6,0.6,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.6,0.6,1.0,0.6,0.6,0.0,0.6,0.6,1.0,0.6,0.6,1.0,1.0,1.0,0.6,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.6,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6,1.0,1.0,0.6,1.0,0.6,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.0,0.6,1.0,0.6,1.0,0.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.6,0.0,1.0,0.6,1.0,0.0,0.6,1.0,1.0,1.0,841.2,Excellent,28086,172
0.0,1.0,0.67,1.0,0.0,1.0,1.0,0.67,0.0,1.0,0.67,0.0,1.0,0.0,1.0,0.67,0.67,1.0,1.0,0.67,1.0,1.0,0.67,1.0,0.67,1.0,0.67,0.0,0.0,0.67,1.0,1.0,1.0,1.0,0.67,0.0,0.67,1.0,1.0,1.0,0.0,0.67,0.67,1.0,0.0,1.0,0.0,1.0,0.67,0.67,1.0,0.67,0.67,0.0,1.0,1.0,1.0,0.0,0.67,0.67,0.0,0.67,0.0,1.0,0.67,0.67,1.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.67,1.0,1.0,0.0,0.0,0.67,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.67,1.0,0.0,0.0,0.67,0.67,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.67,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,0.67,1.0,0.67,0.67,0.0,1.0,0.67,1.0,0.67,1.0,0.0,0.0,0.0,0.67,1.0,0.67,1.0,0.67,0.0,1.0,1.0,0.67,0.67,1.0,1.0,1.0,1.0,0.67,783.2800000000002,Excellent,24924,3347
0.61,0.61,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.61,1.0,1.0,0.61,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.61,0.61,0.0,1.0,0.61,1.0,1.0,1.0,1.0,1.0,0.61,0.0,1.0,1.0,1.0,0.0,0.61,1.0,1.0,1.0,1.0,0.0,0.61,1.0,1.0,1.0,0.61,1.0,1.0,0.61,0.61,0.0,0.0,0.61,1.0,1.0,1.0,1.0,0.0,0.61,1.0,0.61,0.61,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.61,0.61,1.0,1.0,1.0,0.61,0.61,0.61,0.0,1.0,1.0,0.0,0.0,0.61,1.0,1.0,1.0,0.61,0.61,1.0,0.0,1.0,0.61,0.0,0.0,0.61,1.0,0.61,0.61,1.0,1.0,1.0,1.0,0.61,1.0,1.0,1.0,0.61,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.61,0.61,1.0,0.0,1.0,1.0,1.0,0.61,1.0,1.0,1.0,0.61,1.0,1.0,1.0,1.0,0.61,1.0,1.0,0.61,1.0,0.0,1.0,1.0,1.0,0.0,0.61,0.61,1.0,1.0,1.0,0.0,1.0,0.61,1.0,1.0,1.0,856.93,Excellent,25033,4224
1.0,1.0,1.0,1.0,1.0,0.64,0.0,1.0,1.0,0.64,1.0,0.64,0.64,1.0,1.0,1.0,0.64,1.0,1.0,0.0,0.0,0.64,1.0,1.0,1.0,0.0,0.64,0.0,0.64,0.64,0.64,0.0,0.64,1.0,1.0,0.64,0.0,1.0,1.0,1.0,0.64,0.0,1.0,1.0,0.64,1.0,1.0,0.64,1.0,0.0,1.0,1.0,0.64,0.64,1.0,0.0,1.0,0.64,1.0,1.0,0.0,0.0,0.64,1.0,0.64,1.0,1.0,1.0,0.64,1.0,1.0,0.0,1.0,1.0,0.64,0.64,1.0,0.64,1.0,1.0,1.0,1.0,1.0,0.64,1.0,0.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.64,1.0,0.0,1.0,0.64,0.64,0.64,1.0,1.0,1.0,1.0,0.0,0.0,0.64,0.64,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.64,0.0,1.0,1.0,1.0,0.0,0.64,1.0,0.64,1.0,1.0,0.64,0.64,1.0,0.64,1.0,1.0,1.0,0.64,1.0,0.64,0.64,1.0,1.0,1.0,1.0,1.0,0.64,0.64,1.0,862.0000000000003,Excellent,21982,2645
1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.6,1.0,0.6,0.6,1.0,1.0,0.6,0.6,1.0,1.0,1.0,0.6,0.6,0.6,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.6,0.6,0.6,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6,1.0,0.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6,1.0,1.0,0.6,0.6,0.0,1.0,1.0,0.6,1.0,1.0,1.0,0.6,0.0,1.0,1.0,1.0,1.0,1.0,0.6,0.0,0.6,1.0,0.6,1.0,0.6,0.6,1.0,0.6,0.6,0.0,1.0,0.6,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,915.2,Excellent,12722,4656
0.65,0.65,1.0,0.65,1.0,0.65,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.65,0.65,1.0,1.0,1.0,0.0,0.0,0.65,0.65,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.0,1.0,1.0,1.0,0.65,1.0,0.0,0.65,1.0,1.0,0.65,0.65,1.0,1.0,0.65,1.0,1.0,0.65,0.65,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.65,0.65,1.0,0.65,1.0,1.0,1.0,1.0,0.65,1.0,1.0,0.65,0.65,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.65,0.0,0.0,1.0,0.65,0.0,1.0,1.0,0.65,1.0,1.0,0.0,0.65,0.65,0.65,0.65,0.65,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.65,0.0,1.0,0.0,0.65,1.0,1.0,0.65,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.65,1.0,0.65,1.0,1.0,1.0,0.65,1.0,1.0,0.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65,1.0,0.65,1.0,0.65,847.6499999999999,Excellent,17835,842
